province,Latitude,Longitude
Yunnan,24.119889,99.372999
Yunnan,24.069628,99.18075
Yunnan,24.187901,99.431686
Yunnan,23.962844,99.231069
Yunnan,24.110341,99.38464
Yunnan,23.979199,99.242736
Yunnan,24.039994,99.437336
Yunnan,23.999077,99.576226
Yunnan,24.166261,99.229704
Yunnan,24.188691,99.465707
Yunnan,23.878866,99.213172
Yunnan,24.032767,99.273809
Yunnan,23.962844,99.231069
Yunnan,24.188691,99.465707
Yunnan,24.110341,99.38464
Yunnan,23.979199,99.242736
Yunnan,24.08378,99.149273
Yunnan,24.01393,99.248747
Yunnan,24.110341,99.38464
Yunnan,23.875034,99.273736
Yunnan,23.971036,99.280859
Yunnan,23.942967,99.427606
Yunnan,24.110341,99.38464
Yunnan,24.187901,99.431686
Yunnan,23.878866,99.213172
Yunnan,24.039215,99.495618
Yunnan,24.087489,99.369902
Yunnan,24.187901,99.431686
Yunnan,23.793053,99.413944
Yunnan,23.971036,99.280859
Yunnan,23.793053,99.413944
Yunnan,23.793053,99.413944
Yunnan,23.942068,99.384097
Yunnan,24.188691,99.465707
Yunnan,23.995378,99.239555
Yunnan,23.998945,99.211051
Yunnan,23.753108,98.983944
Yunnan,23.943969,98.746617
Yunnan,23.747798,99.155222
Yunnan,23.730362,99.324708
Yunnan,23.928849,99.172241
Yunnan,23.883912,99.026807
Yunnan,23.725134,98.932476
Yunnan,23.93955,99.15998
Yunnan,23.771381,99.251933
Yunnan,23.730362,99.324708
Yunnan,23.730362,99.324708
Yunnan,23.910495,98.891663
Yunnan,23.753108,98.983944
Yunnan,23.725134,98.932476
Yunnan,23.969163,99.04727
Yunnan,23.943969,98.746617
Yunnan,23.772355,98.827483
Yunnan,23.826822,98.868203
Yunnan,23.86602,98.786905
Yunnan,23.772355,98.827483
Yunnan,23.943969,98.746617
Yunnan,23.725134,98.932476
Yunnan,23.910495,98.891663
Yunnan,23.725134,98.932476
Yunnan,23.749622,99.154499
Yunnan,23.640528,99.889742
Yunnan,23.4849,99.8344
Yunnan,23.4849,99.8344
Yunnan,23.534773,99.399806
Yunnan,23.536399,99.399703
Yunnan,23.533573,99.403347
Yunnan,23.534773,99.399806
Yunnan,24.84645,100.937891
Yunnan,25.00266,101.448842
Yunnan,24.86543,101.587953
Yunnan,25.142521,101.431013
Yunnan,25.12304,101.482286
Yunnan,25.062449,100.936007
Yunnan,24.878836,100.981592
Yunnan,24.878836,100.981592
Yunnan,24.820264,101.492353
Yunnan,24.878836,100.981592
Yunnan,25.14358,101.37466
Yunnan,24.889651,101.535346
Yunnan,25.075936,101.503487
Yunnan,24.863607,100.954384
Yunnan,25.002882,100.933049
Yunnan,25.12304,101.482286
Yunnan,25.070939,101.6001
Yunnan,25.034526,101.688116
Yunnan,25.029967,101.536642
Yunnan,24.820735,100.956881
Yunnan,25.126726,101.387955
Yunnan,25.002882,100.933049
Yunnan,25.126726,101.387955
Yunnan,25.03376,101.540712
Yunnan,25.14358,101.37466
Yunnan,24.981321,101.610193
Yunnan,25.032319,101.539348
Yunnan,25.078831,101.631366
Yunnan,25.05258,101.337599
Yunnan,25.301427,101.459851
Yunnan,25.313122,101.546566
Yunnan,25.484872,101.658447
